,User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
57,11351073,2021-08-10 09:40:06,Spot,Deposit,EUR,174.14,
58,11351073,2021-08-10 09:40:06,Spot,Transaction Related,BUSD,200.0,
59,11351073,2021-08-10 09:40:06,Spot,Transaction Related,EUR,-174.14,
60,11351073,2021-08-10 09:46:37,Spot,Deposit,BUSD,201.0,
61,11351073,2021-08-10 09:52:30,Spot,Transaction Related,EUR,-348.35,
62,11351073,2021-08-10 09:52:30,Spot,Transaction Related,BUSD,400.0,
63,11351073,2021-08-10 09:52:30,Spot,Deposit,EUR,348.35,
64,11351073,2021-08-10 09:56:05,Spot,Withdraw,BUSD,-400.0,Withdraw fee is included
65,11351073,2021-08-10 11:00:17,Spot,NFT transaction,BUSD,-400.0,
66,11351073,2021-08-10 16:12:56,Spot,Small assets exchange BNB,ONT,-0.00525,
67,11351073,2021-08-10 16:12:56,Spot,Small assets exchange BNB,ONG,-0.0018992,
68,11351073,2021-08-10 16:12:56,Spot,Small assets exchange BNB,BNB,1.279e-05,
69,11351073,2021-08-10 16:12:56,Spot,Small assets exchange BNB,BNB,4.35e-06,
70,11351073,2021-08-16 13:30:53,Spot,NFT transaction,BUSD,14.7,
71,11351073,2021-08-17 12:47:13,Spot,Large OTC trading,BUSD,98.23569,
72,11351073,2021-08-17 12:47:13,Spot,Large OTC trading,BTC,-0.0021,
73,11351073,2021-08-17 12:51:43,Spot,Withdraw,BUSD,-100.0,Withdraw fee is included
74,11351073,2021-08-17 15:42:29,Spot,NFT transaction,BUSD,17.64,
75,11351073,2021-08-17 18:44:04,Spot,Fee,ETH,-0.000312,
76,11351073,2021-08-17 18:44:04,Spot,Buy,BTC,-0.02152269,
77,11351073,2021-08-17 18:44:04,Spot,Buy,ETH,0.312,
78,11351073,2021-08-17 18:50:45,Spot,Withdraw,ETH,-0.311688,Withdraw fee is included
79,11351073,2021-08-17 20:33:09,Spot,Small assets exchange BNB,BTC,-4.265e-05,
80,11351073,2021-08-17 20:33:09,Spot,Small assets exchange BNB,BNB,0.0046205,
81,11351073,2021-08-18 10:34:29,Spot,NFT transaction,BUSD,14.7,
82,11351073,2021-08-26 10:45:42,Spot,Withdraw,BUSD,-46.56969,Withdraw fee is included
83,11351073,2021-09-03 14:27:42,Spot,Withdraw,ETH,-0.0436561,Withdraw fee is included
84,11351073,2021-09-03 16:11:08,Spot,Deposit,ETH,0.18,
85,11351073,2021-09-05 15:18:03,Spot,Fee,BNB,-0.00098121,
86,11351073,2021-09-05 15:18:03,Spot,Sell,ETH,-0.1661,
87,11351073,2021-09-05 15:18:03,Spot,Sell,USDT,649.962588,
88,11351073,2021-09-05 15:20:42,Spot,Buy,ETH,0.0127,
89,11351073,2021-09-05 15:20:42,Spot,Fee,BNB,-7.517e-05,
90,11351073,2021-09-05 15:20:42,Spot,Buy,USDT,-49.678463,
91,11351073,2021-09-05 15:22:08,Spot,Sell,USDT,59.822847,
92,11351073,2021-09-05 15:22:08,Spot,Sell,ETH,-0.0153,
93,11351073,2021-09-05 15:22:08,Spot,Fee,BNB,-9.06e-05,
94,11351073,2021-09-05 16:29:44,Spot,Buy,USDT,-324.36,
95,11351073,2021-09-05 16:29:44,Spot,Fee,BNB,-0.0004896,
96,11351073,2021-09-05 16:29:44,Spot,Buy,AXS,4.0,
97,11351073,2021-09-06 12:24:40,Spot,Deposit,SLP,1000.0,
98,11351073,2021-09-06 20:48:56,Spot,Buy,USDT,-334.8995,
99,11351073,2021-09-06 20:48:56,Spot,Buy,BUSD,335.0,
100,11351073,2021-09-07 07:06:20,Spot,Buy,AXS,4.0,
101,11351073,2021-09-07 07:06:20,Spot,Buy,BUSD,-308.0,
102,11351073,2021-09-07 08:18:19,Spot,Small assets exchange BNB,ETH,-0.0113,
103,11351073,2021-09-07 08:18:19,Spot,Small assets exchange BNB,BNB,0.00169876,
104,11351073,2021-09-07 08:18:19,Spot,Small assets exchange BNB,BNB,0.05412145,
105,11351073,2021-09-07 08:18:19,Spot,Small assets exchange BNB,BUSD,-27.0,
106,11351073,2021-09-07 08:18:19,Spot,Small assets exchange BNB,USDT,-0.847472,
107,11351073,2021-09-07 08:18:19,Spot,Small assets exchange BNB,BNB,0.08745533,
108,11351073,2021-09-07 12:36:31,Spot,Sell,SLP,-1000.0,
109,11351073,2021-09-07 12:36:31,Spot,Sell,BUSD,120.0,
110,11351073,2021-09-07 12:49:46,Spot,Withdraw,BUSD,-120.0,Withdraw fee is included
111,11351073,2021-09-07 15:17:42,Spot,Deposit,SLP,2900.0,
112,11351073,2021-09-07 15:21:57,Spot,Sell,BUSD,287.39,
113,11351073,2021-09-07 15:21:57,Spot,Sell,SLP,-2900.0,
114,11351073,2021-09-07 15:24:23,Spot,Buy,BUSD,-216.524,
115,11351073,2021-09-07 15:24:23,Spot,Buy,SOL,0.09,
116,11351073,2021-09-07 15:24:23,Spot,Fee,BNB,-0.00039819,
117,11351073,2021-09-07 15:24:23,Spot,Fee,BNB,-0.00010179,
118,11351073,2021-09-07 15:24:23,Spot,Buy,SOL,0.34,
119,11351073,2021-09-07 15:24:23,Spot,Buy,BUSD,-55.352,
120,11351073,2021-09-07 15:24:23,Spot,Fee,BNB,-2.694e-05,
121,11351073,2021-09-07 15:24:23,Spot,Buy,BUSD,-14.6502,
122,11351073,2021-09-07 15:24:23,Spot,Buy,SOL,1.33,
123,11351073,2021-09-08 19:43:02,Spot,Sell,SOL,-1.76,
124,11351073,2021-09-08 19:43:02,Spot,Sell,BUSD,334.4,
125,11351073,2021-09-08 20:46:13,Spot,Buy,AXS,2.0,
126,11351073,2021-09-08 20:46:13,Spot,Buy,BUSD,-135.18,
127,11351073,2021-09-08 20:46:13,Spot,Fee,BNB,-0.0002442,
128,11351073,2021-09-09 19:12:32,Spot,Buy,SOL,1.05,
129,11351073,2021-09-09 19:12:32,Spot,Buy,BUSD,-192.15,
130,11351073,2021-09-11 14:23:03,Spot,Sell,SOL,-1.05,
131,11351073,2021-09-11 14:23:03,Spot,Sell,BUSD,196.3815,
132,11351073,2021-09-13 05:07:05,Spot,Buy,BUSD,-192.0,
133,11351073,2021-09-13 05:07:05,Spot,Buy,AXS,3.0,
134,11351073,2021-09-13 11:36:23,Spot,Small assets exchange BNB,BUSD,-12.3153,
135,11351073,2021-09-13 11:36:23,Spot,Small assets exchange BNB,BNB,0.03036285,
136,11351073,2021-09-13 11:41:31,Spot,Fee,BNB,-0.00012202,
137,11351073,2021-09-13 11:41:31,Spot,Buy,BNB,-0.1625,
138,11351073,2021-09-13 11:41:31,Spot,Buy,AXS,1.0,
139,11351073,2021-09-19 23:07:37,Spot,Buy,BUSD,-563.0043,
140,11351073,2021-09-19 23:07:37,Spot,Fee,BNB,-0.00103663,
141,11351073,2021-09-19 23:07:37,Spot,Buy,LUNA,17.17,
142,11351073,2021-09-20 17:36:41,Spot,Withdraw,LUNA,-17.17,Withdraw fee is included
143,11351073,2021-09-21 09:47:52,Spot,Transaction Related,EUR,-34.33,
144,11351073,2021-09-21 09:47:52,Spot,Transaction Related,BUSD,39.43597539,
145,11351073,2021-09-21 09:47:52,Spot,Deposit,EUR,34.33,
146,11351073,2021-09-21 09:50:45,Spot,Withdraw,BUSD,-39.73202673,Withdraw fee is included
147,11351073,2021-09-21 21:21:09,Spot,Deposit,SLP,1271.0,
148,11351073,2021-09-21 21:21:52,Spot,Sell,ETH,0.02647493,
149,11351073,2021-09-21 21:21:52,Spot,Fee,BNB,-0.00015805,
150,11351073,2021-09-21 21:21:52,Spot,Sell,SLP,-1271.0,
151,11351073,2021-09-23 17:42:41,Spot,Withdraw,AXS,-9.0,Withdraw fee is included
152,11351073,2021-09-23 18:09:42,Spot,Withdraw,ETH,-0.011,Withdraw fee is included
153,11351073,2021-09-23 23:26:38,Spot,Deposit,BUSD,18.0,
154,11351073,2021-09-23 23:28:36,Spot,Buy,BUSD,-17.879817,
155,11351073,2021-09-23 23:28:36,Spot,Fee,BNB,-3.506e-05,
156,11351073,2021-09-23 23:28:36,Spot,Buy,ETH,0.0057,
157,11351073,2021-09-27 09:05:27,Spot,Sell,BUSD,66.203782,
158,11351073,2021-09-27 09:05:27,Spot,Sell,ETH,-0.0211,
159,11351073,2021-09-27 21:09:42,Spot,Withdraw,BUSD,-66.323965,Withdraw fee is included
160,11351073,2021-09-29 11:16:43,Spot,Withdraw,AXS,-5.0,Withdraw fee is included
161,11351073,2021-10-01 16:07:07,Spot,Sell,BUSD,21.4604,
162,11351073,2021-10-01 16:07:07,Spot,Fee,BNB,-3.895e-05,
163,11351073,2021-10-01 16:07:07,Spot,Sell,BNB,-0.052,
164,11351073,2021-10-01 16:07:49,Spot,Buy,BUSD,-21.065,
165,11351073,2021-10-01 16:07:49,Spot,Fee,BNB,-3.831e-05,
166,11351073,2021-10-01 16:07:49,Spot,Buy,LUNA,0.55,
167,11351073,2021-10-24 15:13:11,Spot,Deposit,SLP,1.0,
168,11351073,2021-10-24 15:15:12,Spot,Deposit,SLP,6500.0,
169,11351073,2021-10-24 15:18:06,Spot,Fee,BNB,-0.00065868,
170,11351073,2021-10-24 15:18:06,Spot,Sell,SLP,-6501.0,
171,11351073,2021-10-24 15:18:06,Spot,Sell,ETH,0.1033659,
172,11351073,2021-10-24 17:01:08,Spot,Sell,BUSD,22.55,
173,11351073,2021-10-24 17:01:08,Spot,Sell,LUNA,-0.55,
174,11351073,2021-10-24 19:01:09,Spot,Withdraw,ETH,-0.100942,Withdraw fee is included
175,11351073,2021-10-28 14:26:42,Spot,Large OTC trading,BUSD,-22.9454,
176,11351073,2021-10-28 14:26:42,Spot,Large OTC trading,BNB,0.04775675,
177,11351073,2021-10-28 19:17:48,Spot,NFT transaction,BNB,-0.0015,
178,11351073,2021-10-28 19:17:59,Spot,NFT transaction,BNB,-0.0015,
179,11351073,2021-10-28 19:18:06,Spot,NFT transaction,BNB,-0.0015,
180,11351073,2021-10-28 19:18:22,Spot,NFT transaction,BNB,-0.0015,
181,11351073,2021-10-28 21:16:26,Spot,NFT transaction,BNB,-0.0015,
182,11351073,2021-10-31 18:22:38,Spot,Transaction Related,EUR,-49.05,
183,11351073,2021-10-31 18:22:38,Spot,Transaction Related,BNB,0.10869254,
184,11351073,2021-10-31 18:22:38,Spot,Deposit,EUR,49.05,
185,11351073,2021-10-31 18:26:42,Spot,Withdraw,BNB,-0.14900447,Withdraw fee is included
186,11351073,2021-11-11 20:17:04,Spot,Deposit,BUSD,31.87386141,
187,11351073,2021-11-11 20:25:38,Spot,Deposit,SLP,10.0,
188,11351073,2021-11-11 20:27:38,Spot,Deposit,SLP,5819.0,
189,11351073,2021-11-11 21:16:53,Spot,Fee,BUSD,-0.0674325,
190,11351073,2021-11-11 21:16:53,Spot,Sell,BUSD,30.9096,
